Register_days_until_transaction,num_trans_iPhone,num_trans_iPad,num_trans_Entertainment,num_trans_Games,num_trans_Photos & Videos,num_trans_Social Networking,num_trans_Utilities,Total_num_of_transactions,iPhone_Revenue,iPad_Revenue,Entertainment_Revenue,Games_Revenue,Photos & Videos_Revenue,Social Networking_Revenue,Utilities_Revenue,Total_Revenue,Cluster
1427.0,1000.0,356.0,150.0,613.0,368.0,77.0,148.0,1356.0,8364.06,3031.4699999999993,966.5,6887.959999999999,2199.3199999999997,501.23,840.52,11395.529999999999,Gold Subscribers
1946.0,1002.0,350.0,137.0,597.0,385.0,93.0,140.0,1352.0,8483.019999999999,2807.5399999999995,978.6299999999999,6419.11,2494.1499999999996,569.07,829.6,11290.56,Gold Subscribers
2667.0,995.0,353.0,170.0,603.0,371.0,76.0,128.0,1348.0,8083.119999999998,2930.49,1225.2999999999997,6244.0599999999995,2361.29,423.24000000000007,759.7199999999998,11013.609999999999,Gold Subscribers
2510.0,979.0,367.0,128.0,615.0,391.0,66.0,146.0,1346.0,8468.289999999999,3222.3699999999994,907.7199999999998,6773.969999999999,2669.09,443.34000000000003,896.54,11690.66,Gold Subscribers
1749.0,956.0,388.0,141.0,607.0,397.0,58.0,141.0,1344.0,8018.529999999999,3048.1499999999996,892.5900000000001,6698.049999999999,2321.0299999999997,345.4200000000001,809.5900000000001,11066.68,Gold Subscribers
2514.0,977.0,366.0,139.0,578.0,390.0,82.0,154.0,1343.0,7965.289999999998,3166.37,953.6099999999999,6225.3099999999995,2564.1,516.18,872.46,11131.66,Gold Subscribers
2975.0,985.0,356.0,135.0,553.0,410.0,87.0,156.0,1341.0,8171.219999999999,3045.4699999999993,888.6500000000001,6269.57,2568.8999999999996,525.13,964.44,11216.689999999999,Gold Subscribers
1830.0,969.0,371.0,136.0,607.0,369.0,66.0,162.0,1340.0,8691.329999999998,2973.3199999999997,1008.6399999999999,6933.98,2350.31,442.34000000000003,929.3800000000001,11664.649999999998,Gold Subscribers
1789.0,1007.0,333.0,155.0,569.0,393.0,85.0,138.0,1340.0,8579.019999999999,2780.6800000000003,1035.45,6469.41,2523.0699999999997,497.1500000000001,834.62,11359.699999999999,Gold Subscribers
1782.0,995.0,345.0,144.0,627.0,359.0,75.0,135.0,1340.0,8471.119999999999,2982.5899999999992,952.56,6826.839999999999,2316.41,528.25,829.6500000000001,11453.71,Gold Subscribers
3296.0,984.0,354.0,161.0,547.0,388.0,93.0,149.0,1338.0,8301.199999999999,2742.49,1091.39,6034.599999999999,2488.12,481.0700000000001,948.51,11043.689999999999,Gold Subscribers
1730.0,993.0,345.0,141.0,602.0,378.0,66.0,151.0,1338.0,8316.14,2842.58,993.59,6587.079999999999,2322.2200000000003,407.34000000000003,848.49,11158.719999999998,Gold Subscribers
2528.0,965.0,373.0,142.0,594.0,395.0,66.0,141.0,1338.0,7916.409999999999,3093.2999999999993,961.58,6469.15,2357.05,383.34000000000003,838.5900000000001,11009.71,Gold Subscribers
2746.0,1001.0,336.0,153.0,555.0,385.0,77.0,167.0,1337.0,8192.029999999999,2661.66,1119.47,5934.509999999999,2517.1499999999996,451.23,831.3300000000002,10853.689999999999,Gold Subscribers
1504.0,989.0,348.0,145.0,574.0,389.0,76.0,153.0,1337.0,8013.19,2599.5499999999997,843.55,6169.37,2284.1099999999997,436.24,879.47,10612.74,Gold Subscribers
3025.0,979.0,358.0,136.0,583.0,395.0,57.0,166.0,1337.0,8332.269999999999,2712.4599999999996,855.64,6237.27,2625.05,303.43000000000006,1023.3400000000001,11044.73,Gold Subscribers
2948.0,996.0,340.0,137.0,583.0,393.0,73.0,150.0,1336.0,8347.099999999999,2655.63,922.63,6348.259999999999,2503.0699999999997,435.2700000000001,793.5,11002.73,Gold Subscribers
