Date,Daily_num_transaction
2016-06-01,31203
2016-06-02,31058
2016-06-03,30980
2016-06-04,32569
2016-06-05,32717
2016-06-06,31213
2016-06-07,31234
2016-06-08,31065
2016-06-09,31161
2016-06-10,31131
2016-06-11,32701
2016-06-12,32416
2016-06-13,31313
2016-06-14,31169
2016-06-15,31179
2016-06-16,30898
2016-06-17,31224
2016-06-18,32290
2016-06-19,32544
2016-06-20,31224
2016-06-21,31474
2016-06-22,31268
2016-06-23,31438
2016-06-24,31243
2016-06-25,32603
2016-06-26,32677
2016-06-27,31418
2016-06-28,31122
2016-06-29,31106
2016-06-30,31465
2016-07-01,31531
2016-07-02,32738
2016-07-03,32982
2016-07-04,36911
2016-07-05,31588
2016-07-06,31544
2016-07-07,31508
2016-07-08,31597
2016-07-09,32876
2016-07-10,33107
2016-07-11,31647
2016-07-12,31625
2016-07-13,31604
2016-07-14,31662
2016-07-15,31603
2016-07-16,33312
2016-07-17,33197
2016-07-18,31867
2016-07-19,31704
2016-07-20,32176
2016-07-21,32129
2016-07-22,32148
2016-07-23,33645
2016-07-24,33757
2016-07-25,32163
2016-07-26,32154
2016-07-27,32319
2016-07-28,32199
2016-07-29,32683
2016-07-30,33997
2016-07-31,33692
2016-08-01,32725
2016-08-02,32679
2016-08-03,32853
2016-08-04,32744
2016-08-05,32754
2016-08-06,34457
2016-08-07,34769
2016-08-08,33000
2016-08-09,33033
2016-08-10,32969
2016-08-11,33089
2016-08-12,33156
2016-08-13,34701
2016-08-14,34366
2016-08-15,33307
2016-08-16,33375
2016-08-17,32974
2016-08-18,33674
2016-08-19,33196
2016-08-20,34465
2016-08-21,34909
2016-08-25,33201
2016-08-26,33517
2016-08-27,34796
2016-08-28,34611
2016-08-29,33502
2016-08-30,33479
2016-08-31,33584
2016-09-01,33501
2016-09-02,33218
2016-09-03,34998
2016-09-04,35384
2016-09-05,33576
2016-09-06,33687
2016-09-07,33329
2016-09-08,33381
2016-09-09,33643
2016-09-10,34810
2016-09-11,34751
2016-09-12,33316
2016-09-13,33510
2016-09-14,33605
2016-09-15,33492
2016-09-16,33541
2016-09-17,35155
2016-09-18,35149
2016-09-19,33864
2016-09-20,33351
2016-09-21,33595
